x_um	field_Hz
0.000000000000000000e+00	1.000000000000000000e+00
1.018999999999999906e+00	1.000000000000000000e+00
2.037999999999999812e+00	1.000000000000000000e+00
3.056999999999999496e+00	1.000000000000000000e+00
4.075999999999999623e+00	1.000000000000000000e+00
5.094999999999999751e+00	1.000000000000000000e+00
6.113999999999998991e+00	1.000000000000000000e+00
7.132999999999999119e+00	1.000000000000000000e+00
8.151999999999999247e+00	1.000000000000000000e+00
9.170999999999999375e+00	1.000000000000000000e+00
1.018999999999999950e+01	1.000000000000000000e+00
1.120899999999999963e+01	1.000000000000000000e+00
1.222799999999999798e+01	1.000000000000000000e+00
1.324699999999999811e+01	1.000000000000000000e+00
1.426599999999999824e+01	1.000000000000000000e+00
1.528500000000000014e+01	1.000000000000000000e+00
1.630399999999999849e+01	1.000000000000000000e+00
1.732299999999999685e+01	1.000000000000000000e+00
1.834199999999999875e+01	1.000000000000000000e+00
1.936100000000000065e+01	1.000000000000000000e+00
2.037999999999999901e+01	1.000000000000000000e+00
2.139899999999999736e+01	1.000000000000000000e+00
2.241799999999999926e+01	1.000000000000000000e+00
2.343700000000000117e+01	1.000000000000000000e+00
2.445599999999999596e+01	1.000000000000000000e+00
2.547499999999999432e+01	1.000000000000000000e+00
2.649399999999999622e+01	1.000000000000000000e+00
2.751299999999999812e+01	1.000000000000000000e+00
2.853199999999999648e+01	1.000000000000000000e+00
2.955099999999999483e+01	1.000000000000000000e+00
3.057000000000000028e+01	1.000000000000000000e+00
3.158899999999999864e+01	1.000000000000000000e+00
3.260799999999999699e+01	1.000000000000000000e+00
3.362699999999999534e+01	1.000000000000000000e+00
3.464599999999999369e+01	1.000000000000000000e+00
3.566499999999999915e+01	1.000000000000000000e+00
3.668399999999999750e+01	1.000000000000000000e+00
3.770299999999999585e+01	1.000000000000000000e+00
3.872200000000000131e+01	1.000000000000000000e+00
3.974099999999999966e+01	1.000000000000000000e+00
4.075999999999999801e+01	1.000000000000000000e+00
4.177899999999999636e+01	1.000000000000000000e+00
4.279799999999999471e+01	1.000000000000000000e+00
4.381700000000000017e+01	1.000000000000000000e+00
4.483599999999999852e+01	1.000000000000000000e+00
4.585499999999999687e+01	1.000000000000000000e+00
4.687400000000000233e+01	1.000000000000000000e+00
4.789299999999999358e+01	1.000000000000000000e+00
4.891199999999999193e+01	1.000000000000000000e+00
4.993099999999999028e+01	1.000000000000000000e+00
5.094999999999998863e+01	1.000000000000000000e+00
5.196899999999999409e+01	1.000000000000000000e+00
5.298799999999999244e+01	1.000000000000000000e+00
5.400699999999999079e+01	1.000000000000000000e+00
5.502599999999999625e+01	1.000000000000000000e+00
5.604499999999999460e+01	1.000000000000000000e+00
5.706399999999999295e+01	1.000000000000000000e+00
5.808299999999999130e+01	1.000000000000000000e+00
5.910199999999998965e+01	1.000000000000000000e+00
6.012099999999999511e+01	1.000000000000000000e+00
6.114000000000000057e+01	1.000000000000000000e+00
6.215899999999999892e+01	1.000000000000000000e+00
6.317799999999999727e+01	1.000000000000000000e+00
6.419699999999998852e+01	1.000000000000000000e+00
6.521599999999999397e+01	1.000000000000000000e+00
6.623499999999998522e+01	1.000000000000000000e+00
6.725399999999999068e+01	1.000000000000000000e+00
6.827299999999998192e+01	1.000000000000000000e+00
6.929199999999998738e+01	1.000000000000000000e+00
7.031099999999999284e+01	1.000000000000000000e+00
7.132999999999999829e+01	1.000000000000000000e+00
7.234899999999998954e+01	1.000000000000000000e+00
7.336799999999999500e+01	1.000000000000000000e+00
7.438699999999998624e+01	1.000000000000000000e+00
7.540599999999999170e+01	1.000000000000000000e+00
7.642499999999998295e+01	1.000000000000000000e+00
7.744400000000000261e+01	1.000000000000000000e+00
7.846299999999999386e+01	1.000000000000000000e+00
7.948199999999999932e+01	1.000000000000000000e+00
8.050099999999999056e+01	1.000000000000000000e+00
8.151999999999999602e+01	1.000000000000000000e+00
8.253899999999998727e+01	1.000000000000000000e+00
8.355799999999999272e+01	1.000000000000000000e+00
8.457699999999998397e+01	1.000000000000000000e+00
8.559599999999998943e+01	1.000000000000000000e+00
8.661499999999999488e+01	1.000000000000000000e+00
8.763400000000000034e+01	1.000000000000000000e+00
8.865299999999999159e+01	1.000000000000000000e+00
