#x_um	profile_y
0.000000	1.000000
1.019000	1.000000
2.038000	1.000000
3.057000	1.000000
4.076000	1.000000
5.095000	1.000000
6.114000	1.000000
7.133000	1.000000
8.152000	1.000000
9.171000	1.000000
10.190000	1.000000
11.209000	1.000000
12.228000	1.000000
13.247000	1.000000
14.266000	1.000000
15.285000	1.000000
16.304000	1.000000
17.323000	1.000000
18.342000	1.000000
19.361000	1.000000
20.380000	1.000000
21.399000	1.000000
22.418000	1.000000
23.437000	1.000000
24.456000	1.000000
25.475000	1.000000
26.494000	1.000000
27.513000	1.000000
28.532000	1.000000
29.551000	1.000000
30.570000	1.000000
31.589000	1.000000
32.608000	1.000000
33.627000	1.000000
34.646000	1.000000
35.665000	1.000000
36.684000	1.000000
37.703000	1.000000
38.722000	1.000000
39.741000	1.000000
40.760000	1.000000
41.779000	1.000000
42.798000	1.000000
43.817000	1.000000
44.836000	1.000000
45.855000	1.000000
46.874000	1.000000
47.893000	1.000000
48.912000	1.000000
49.931000	1.000000
50.950000	1.000000
51.969000	1.000000
52.988000	1.000000
54.007000	1.000000
55.026000	1.000000
56.045000	1.000000
57.064000	1.000000
58.083000	1.000000
59.102000	1.000000
60.121000	1.000000
61.140000	1.000000
62.159000	1.000000
63.178000	1.000000
64.197000	1.000000
65.216000	1.000000
66.235000	1.000000
67.254000	1.000000
68.273000	1.000000
69.292000	1.000000
70.311000	1.000000
71.330000	1.000000
72.349000	1.000000
73.368000	1.000000
74.387000	1.000000
75.406000	1.000000
76.425000	1.000000
77.444000	1.000000
78.463000	1.000000
79.482000	1.000000
80.501000	1.000000
81.520000	1.000000
82.539000	1.000000
83.558000	1.000000
84.577000	1.000000
85.596000	1.000000
86.615000	1.000000
87.634000	1.000000
88.653000	1.000000
89.672000	1.000000
90.691000	1.000000
91.710000	1.000000
92.729000	1.000000
93.748000	1.000000
94.767000	1.000000
95.786000	1.000000
96.805000	1.000000
97.824000	1.000000
98.843000	1.000000
99.862000	1.000000
100.881000	1.000000
101.900000	1.000000
102.919000	1.000000
103.938000	1.000000
104.957000	1.000000
105.976000	1.000000
106.995000	1.000000
108.014000	1.000000
109.033000	1.000000
110.052000	1.000000
111.071000	1.000000
112.090000	1.000000
113.109000	1.000000
114.128000	1.000000
115.147000	1.000000
116.166000	1.000000
117.185000	1.000000
118.204000	1.000000
119.223000	1.000000
120.242000	1.000000
121.261000	1.000000
122.280000	1.000000
123.299000	1.000000
124.318000	1.000000
125.337000	1.000000
126.356000	1.000000
127.375000	1.000000
128.394000	1.000000
129.413000	1.000000
130.432000	1.000000
131.451000	1.000000
132.470000	1.000000
133.489000	1.000000
134.508000	1.000000
135.527000	1.000000
136.546000	1.000000
137.565000	1.000000
138.584000	1.000000
139.603000	1.000000
140.622000	1.000000
141.641000	1.000000
142.660000	1.000000
143.679000	1.000000
144.698000	1.000000
145.717000	1.000000
146.736000	1.000000
147.755000	1.000000
148.774000	1.000000
149.793000	1.000000
150.812000	1.000000
151.831000	1.000000
152.850000	1.000000
153.869000	1.000000
154.888000	1.000000
155.907000	1.000000
156.926000	1.000000
157.945000	1.000000
158.964000	1.000000
159.983000	1.000000
161.002000	1.000000
162.021000	1.000000
163.040000	1.000000
164.059000	1.000000
165.078000	1.000000
166.097000	1.000000
167.116000	1.000000
168.135000	1.000000
169.154000	1.000000
170.173000	1.000000
171.192000	1.000000
172.211000	1.000000
173.230000	1.000000
174.249000	1.000000
175.268000	1.000000
176.287000	1.000000
177.306000	1.000000
178.325000	1.000000
179.344000	1.000000
180.363000	1.000000
181.382000	1.000000
182.401000	1.000000
183.420000	1.000000
184.439000	1.000000
185.458000	1.000000
186.477000	1.000000
187.496000	1.000000
188.515000	1.000000
189.534000	1.000000
190.553000	1.000000
191.572000	1.000000
192.591000	1.000000
193.610000	1.000000
194.629000	1.000000
195.648000	1.000000
196.667000	1.000000
197.686000	1.000000
198.705000	1.000000
199.724000	1.000000
200.743000	1.000000
201.762000	1.000000
202.781000	1.000000
203.800000	1.000000
204.819000	1.000000
205.838000	1.000000
206.857000	1.000000
207.876000	1.000000
208.895000	1.000000
209.914000	1.000000
210.933000	1.000000
211.952000	1.000000
212.971000	1.000000
213.990000	1.000000
215.009000	1.000000
216.028000	1.000000
217.047000	1.000000
218.066000	1.000000
219.085000	1.000000
220.104000	1.000000
221.123000	1.000000
222.142000	1.000000
223.161000	1.000000
224.180000	1.000000
225.199000	1.000000
226.218000	1.000000
227.237000	1.000000
228.256000	1.000000
229.275000	1.000000
230.294000	1.000000
231.313000	1.000000
232.332000	1.000000
233.351000	1.000000
234.370000	1.000000
235.389000	1.000000
236.408000	1.000000
237.427000	1.000000
238.446000	1.000000
239.465000	1.000000
240.484000	1.000000
241.503000	1.000000
242.522000	1.000000
243.541000	1.000000
244.560000	1.000000
245.579000	1.000000
246.598000	1.000000
247.617000	1.000000
248.636000	1.000000
249.655000	1.000000
250.674000	1.000000
251.693000	1.000000
252.712000	1.000000
253.731000	1.000000
254.750000	1.000000
255.769000	1.000000
256.788000	1.000000
257.807000	1.000000
258.826000	1.000000
259.845000	1.000000
260.864000	1.000000
261.883000	1.000000
262.902000	1.000000
263.921000	1.000000
264.940000	1.000000
265.959000	1.000000
266.978000	1.000000
267.997000	1.000000
269.016000	1.000000
270.035000	1.000000
271.054000	1.000000
272.073000	1.000000
273.092000	1.000000
274.111000	1.000000
275.130000	1.000000
276.149000	1.000000
277.168000	1.000000
278.187000	1.000000
279.206000	1.000000
280.225000	1.000000
281.244000	1.000000
282.263000	1.000000
283.282000	1.000000
284.301000	1.000000
285.320000	1.000000
286.339000	1.000000
287.358000	1.000000
288.377000	1.000000
289.396000	1.000000
290.415000	1.000000
291.434000	1.000000
292.453000	1.000000
293.472000	1.000000
294.491000	1.000000
295.510000	1.000000
296.529000	1.000000
297.548000	1.000000
298.567000	1.000000
299.586000	1.000000
300.605000	1.000000
301.624000	1.000000
302.643000	1.000000
303.662000	1.000000
304.681000	1.000000
305.700000	1.000000
306.719000	1.000000
307.738000	1.000000
308.757000	1.000000
309.776000	1.000000
310.795000	1.000000
311.814000	1.000000
312.833000	1.000000
313.852000	1.000000
314.871000	1.000000
315.890000	1.000000
316.909000	1.000000
317.928000	1.000000
318.947000	1.000000
319.966000	1.000000
320.985000	1.000000
322.004000	1.000000
323.023000	1.000000
324.042000	1.000000
325.061000	1.000000
326.080000	1.000000
327.099000	1.000000
328.118000	1.000000
329.137000	1.000000
330.156000	1.000000
331.175000	1.000000
332.194000	1.000000
333.213000	1.000000
334.232000	1.000000
335.251000	1.000000
336.270000	1.000000
337.289000	1.000000
338.308000	1.000000
339.327000	1.000000
340.346000	1.000000
341.365000	1.000000
342.384000	1.000000
343.403000	1.000000
344.422000	1.000000
345.441000	1.000000
346.460000	1.000000
347.479000	1.000000
348.498000	1.000000
349.517000	1.000000
350.536000	1.000000
351.555000	1.000000
352.574000	1.000000
353.593000	1.000000
354.612000	1.000000
355.631000	1.000000
356.650000	1.000000
357.669000	1.000000
358.688000	1.000000
359.707000	1.000000
360.726000	1.000000
361.745000	1.000000
362.764000	1.000000
363.783000	1.000000
364.802000	1.000000
365.821000	1.000000
366.840000	1.000000
367.859000	1.000000
368.878000	1.000000
369.897000	1.000000
370.916000	1.000000
371.935000	1.000000
372.954000	1.000000
373.973000	1.000000
374.992000	1.000000
376.011000	1.000000
377.030000	1.000000
378.049000	1.000000
379.068000	1.000000
380.087000	1.000000
381.106000	1.000000
382.125000	1.000000
383.144000	1.000000
384.163000	1.000000
385.182000	1.000000
386.201000	1.000000
387.220000	1.000000
388.239000	1.000000
389.258000	1.000000
390.277000	1.000000
391.296000	1.000000
392.315000	1.000000
393.334000	1.000000
394.353000	1.000000
395.372000	1.000000
396.391000	1.000000
397.410000	1.000000
398.429000	1.000000
399.448000	1.000000
400.467000	1.000000
401.486000	1.000000
402.505000	1.000000
403.524000	1.000000
404.543000	1.000000
405.562000	1.000000
406.581000	1.000000
407.600000	1.000000
408.619000	1.000000
409.638000	1.000000
410.657000	1.000000
411.676000	1.000000
412.695000	1.000000
413.714000	1.000000
414.733000	1.000000
415.752000	1.000000
416.771000	1.000000
417.790000	1.000000
418.809000	1.000000
419.828000	1.000000
420.847000	1.000000
421.866000	1.000000
422.885000	1.000000
423.904000	1.000000
424.923000	1.000000
425.942000	1.000000
426.961000	1.000000
427.980000	1.000000
428.999000	1.000000
430.018000	1.000000
431.037000	1.000000
432.056000	1.000000
433.075000	1.000000
434.094000	1.000000
435.113000	1.000000
436.132000	1.000000
437.151000	1.000000
438.170000	1.000000
439.189000	1.000000
440.208000	1.000000
441.227000	1.000000
442.246000	1.000000
443.265000	1.000000
444.284000	1.000000
445.303000	1.000000
446.322000	1.000000
447.341000	1.000000
448.360000	1.000000
449.379000	1.000000
450.398000	1.000000
451.417000	1.000000
452.436000	1.000000
453.455000	1.000000
454.474000	1.000000
455.493000	1.000000
456.512000	1.000000
457.531000	1.000000
458.550000	1.000000
459.569000	1.000000
460.588000	1.000000
461.607000	1.000000
462.626000	1.000000
463.645000	1.000000
464.664000	1.000000
465.683000	1.000000
466.702000	1.000000
467.721000	1.000000
468.740000	1.000000
469.759000	1.000000
470.778000	1.000000
471.797000	1.000000
472.816000	1.000000
473.835000	1.000000
474.854000	1.000000
475.873000	1.000000
476.892000	1.000000
477.911000	1.000000
478.930000	1.000000
479.949000	1.000000
480.968000	1.000000
481.987000	1.000000
483.006000	1.000000
484.025000	1.000000
485.044000	1.000000
486.063000	1.000000
487.082000	1.000000
488.101000	1.000000
489.120000	1.000000
490.139000	1.000000
491.158000	1.000000
492.177000	1.000000
493.196000	1.000000
494.215000	1.000000
495.234000	1.000000
496.253000	1.000000
497.272000	1.000000
498.291000	1.000000
499.310000	1.000000
500.329000	1.000000
501.348000	1.000000
502.367000	1.000000
503.386000	1.000000
504.405000	1.000000
505.424000	1.000000
506.443000	1.000000
507.462000	1.000000
508.481000	1.000000
509.500000	1.000000
510.519000	1.000000
511.538000	1.000000
512.557000	1.000000
513.576000	1.000000
514.595000	1.000000
515.614000	1.000000
516.633000	1.000000
517.652000	1.000000
518.671000	1.000000
519.690000	1.000000
520.709000	1.000000
521.728000	1.000000
522.747000	1.000000
523.766000	1.000000
524.785000	1.000000
525.804000	1.000000
526.823000	1.000000
527.842000	1.000000
528.861000	1.000000
529.880000	1.000000
530.899000	1.000000
531.918000	1.000000
532.937000	1.000000
533.956000	1.000000
534.975000	1.000000
535.994000	1.000000
537.013000	1.000000
538.032000	1.000000
539.051000	1.000000
540.070000	1.000000
541.089000	1.000000
542.108000	1.000000
543.127000	1.000000
544.146000	1.000000
545.165000	1.000000
546.184000	1.000000
547.203000	1.000000
548.222000	1.000000
549.241000	1.000000
550.260000	1.000000
551.279000	1.000000
552.298000	1.000000
553.317000	1.000000
554.336000	1.000000
555.355000	1.000000
556.374000	1.000000
557.393000	1.000000
558.412000	1.000000
559.431000	1.000000
560.450000	1.000000
561.469000	1.000000
562.488000	1.000000
563.507000	1.000000
564.526000	1.000000
565.545000	1.000000
566.564000	1.000000
567.583000	1.000000
568.602000	1.000000
569.621000	1.000000
570.640000	1.000000
571.659000	1.000000
572.678000	1.000000
573.697000	1.000000
574.716000	1.000000
575.735000	1.000000
576.754000	1.000000
577.773000	1.000000
578.792000	1.000000
579.811000	1.000000
580.830000	1.000000
581.849000	1.000000
582.868000	1.000000
583.887000	1.000000
584.906000	1.000000
585.925000	1.000000
586.944000	1.000000
587.963000	1.000000
588.982000	1.000000
590.001000	1.000000
591.020000	1.000000
592.039000	1.000000
593.058000	1.000000
594.077000	1.000000
595.096000	1.000000
596.115000	1.000000
597.134000	1.000000
598.153000	1.000000
599.172000	1.000000
600.191000	1.000000
601.210000	1.000000
602.229000	1.000000
603.248000	1.000000
604.267000	1.000000
605.286000	1.000000
606.305000	1.000000
607.324000	1.000000
608.343000	1.000000
609.362000	1.000000
610.381000	1.000000
611.400000	1.000000
612.419000	1.000000
613.438000	1.000000
614.457000	1.000000
615.476000	1.000000
616.495000	1.000000
617.514000	1.000000
618.533000	1.000000
619.552000	1.000000
620.571000	1.000000
621.590000	1.000000
622.609000	1.000000
623.628000	1.000000
624.647000	1.000000
625.666000	1.000000
626.685000	1.000000
627.704000	1.000000
628.723000	1.000000
629.742000	1.000000
630.761000	1.000000
631.780000	1.000000
632.799000	1.000000
633.818000	1.000000
634.837000	1.000000
635.856000	1.000000
636.875000	1.000000
637.894000	1.000000
638.913000	1.000000
639.932000	1.000000
640.951000	1.000000
641.970000	1.000000
