window_num,window_center_um,window_start_um,window_end_um,field_at_zero,mag_mean_at_zero,mag_sem_at_zero,domain_mean_at_zero,domain_std_at_zero,n_shots_at_zero
0,940.0,900.0,980.0,130.3586448137959,0.0,0.068367424664406,132.22171185899325,76.51859669345725,27
1,945.0,905.0,985.0,130.3653425091175,0.0,0.06216154411216274,151.81035441296638,63.24341226771991,25
2,950.0,910.0,990.0,130.338923916764,1.1368683772161603e-13,0.07027576695655108,44.85875145995318,43.72453323841342,5
3,955.0,915.0,995.0,130.3397978046952,-1.1368683772161603e-13,0.09037848122639185,57.967070427864186,56.792737629400015,5
4,960.0,920.0,1000.0,130.3370515311806,1.1368683772161603e-13,0.024811964593948882,16.772967708934786,15.724698672452286,5
5,965.0,925.0,1005.0,130.33733328339432,0.0,0.03114089892748707,20.999250914584078,19.93804844528137,5
6,970.0,930.0,1010.0,130.337539960655,0.0,0.035965215813655214,24.099409824763313,23.02872013109685,5
7,975.0,935.0,1015.0,130.33782965094628,0.0,0.04248382137372857,28.444764194008556,27.36077668141232,5
8,980.0,940.0,1020.0,130.33810490369987,0.0,0.048738721506606325,32.57355549795935,31.47693290097338,5
9,985.0,945.0,1025.0,130.33850194670094,0.0,0.0579277496774343,38.52920051406015,37.4143522253804,5
10,990.0,950.0,1030.0,130.33904400754153,0.0,0.0696968298038615,46.66011312288492,45.52038230578099,5
11,995.0,955.0,1035.0,130.33912965837968,0.0,0.07163409461212485,47.94487569505694,46.80121319860059,5
12,1000.0,960.0,1040.0,130.33898902593054,-1.1368683772161603e-13,0.06814420055273346,45.83538895808228,44.69818199327636,5
13,1005.0,965.0,1045.0,130.33901755717793,1.1368683772161603e-13,0.06857605890403047,46.263357668793326,45.124841017840076,5
14,1010.0,970.0,1050.0,130.33908664771346,0.0,0.0704025336086716,47.29971570178659,46.15802754851199,5
15,1015.0,975.0,1055.0,130.3395426360672,0.0,0.08092770224976734,54.139541007833415,52.97692136066852,5
16,1020.0,980.0,1060.0,130.34030485765143,0.0,0.09123467996811851,60.81708540914292,60.43540361637151,5
17,1025.0,985.0,1065.0,130.34116638975217,0.0,0.09233204927213,60.300166148698004,62.1847570949771,5
18,1030.0,990.0,1070.0,130.34202278391933,1.1368683772161603e-13,0.09240585617808761,59.78632964840371,63.923677924606636,5
19,1035.0,995.0,1075.0,130.34263823739857,-1.1368683772161603e-13,0.0929917969228026,59.417057560859234,65.17336517816699,5
20,1040.0,1000.0,1080.0,130.34354674913703,0.0,0.0931660113636715,58.871950517784725,67.01811149540433,5
21,1045.0,1005.0,1085.0,130.3450172189773,0.0,0.09407190456697126,57.989668613631736,70.00392192315346,5
22,1050.0,1010.0,1090.0,130.34369015998487,0.0,0.0936582306103392,58.785904009080454,67.30930931069591,5
23,1055.0,1015.0,1095.0,130.34512356366793,0.0,0.09427848626706,57.925861799250356,70.21985636637912,5
24,1060.0,1020.0,1100.0,130.34657508037006,1.1368683772161603e-13,0.09526211685490171,57.05495177797166,73.16718217111904,5
25,1065.0,1025.0,1105.0,130.3477731437483,0.0,0.09540510054985327,56.33611375102853,75.5998673101959,5
26,1070.0,1030.0,1110.0,130.35508187429352,-5.684341886080802e-14,0.0761581501312774,106.77638557944343,76.3652672995581,20
27,1075.0,1035.0,1115.0,130.35793571370385,0.0,0.06977705056172767,127.15755536825186,76.48808091084142,26
28,1080.0,1040.0,1120.0,130.3616993361785,0.0,0.06842255786310347,145.0522686111015,72.33581822683414,28
29,1085.0,1045.0,1125.0,130.35342066442243,0.0,0.08403393171278971,94.91257841675724,76.2937779289127,16
30,1090.0,1050.0,1130.0,130.3563298776111,0.0,0.07786169542172004,115.68920927252779,76.41897452420818,22
31,1095.0,1055.0,1135.0,130.35990887949117,0.0,0.06947242038990262,141.2492476993576,76.5729951548328,30
32,1100.0,1060.0,1140.0,130.36341212070622,-5.684341886080802e-14,0.07391784697893719,148.22948391000944,68.06115641221086,27
33,1105.0,1065.0,1145.0,130.36814811362783,0.0,0.0800102978645142,157.01475077960393,56.24135785098702,22
34,1110.0,1070.0,1150.0,130.37549844485952,0.0,0.05852042860926974,138.35222823524066,55.54086338191496,34
35,1115.0,1075.0,1155.0,130.38494376128452,0.0,0.05287839198499328,138.17663056800652,48.27711106359069,33
36,1120.0,1080.0,1160.0,130.36692055061803,-5.684341886080802e-14,0.07949561527604315,154.73762139643816,59.305033776418064,23
37,1125.0,1085.0,1165.0,130.37071457589812,0.0,0.08118687990907766,157.57818160250662,52.129148757269164,22
38,1130.0,1090.0,1170.0,130.37452824340218,0.0,0.06272148039069968,142.25138352692923,54.84894424124606,32
39,1135.0,1095.0,1175.0,130.38006005922773,0.0,0.0359130313646931,120.47851898398747,58.6239952564172,46
40,1140.0,1100.0,1180.0,130.38579800391045,0.0,0.056604962947706595,141.2723315624176,46.467264881260576,31
41,1145.0,1105.0,1185.0,130.39519666790443,2.842170943040401e-14,0.08204386174038181,114.56289001122008,46.31028465351893,12
42,1150.0,1110.0,1190.0,130.41031540842152,2.842170943040401e-14,0.0944215581019702,119.01490453005496,49.09242262377175,12
43,1155.0,1115.0,1195.0,130.44001521513718,0.0,0.12098258748603065,88.0,55.06359959174482,5
44,1160.0,1120.0,1200.0,130.49978513568385,1.4210854715202004e-14,0.1218633382645061,88.0,55.06359959174482,5
