# Interpolated sigmoid center profile
# x (um) vs ARPF_final_set_field (sigmoid center)
# Interpolation type: cubic

890.500000	130.365251
891.791457	130.370647
893.082915	130.372255
894.374372	130.371591
895.665829	130.370174
896.957286	130.369512
898.248744	130.370931
899.540201	130.373182
900.831658	130.372959
902.123116	130.369958
903.414573	130.369714
904.706030	130.376038
905.997487	130.381250
907.288945	130.380358
908.580402	130.376791
909.871859	130.373730
911.163317	130.371573
912.454774	130.370580
913.746231	130.371431
915.037688	130.374581
916.329146	130.379933
917.620603	130.387035
918.912060	130.393780
920.203518	130.397987
921.494975	130.398339
922.786432	130.394911
924.077889	130.392934
925.369347	130.394450
926.660804	130.396307
927.952261	130.396360
929.243719	130.396046
930.535176	130.397105
931.826633	130.398991
933.118090	130.400414
934.409548	130.400602
935.701005	130.399136
936.992462	130.397041
938.283920	130.395213
939.575377	130.393764
940.866834	130.392850
942.158291	130.392966
943.449749	130.394500
944.741206	130.396203
946.032663	130.396393
947.324121	130.394416
948.615578	130.390378
949.907035	130.388068
951.198492	130.389761
952.489950	130.393006
953.781407	130.395579
955.072864	130.397985
956.364322	130.401250
957.655779	130.404424
958.947236	130.405793
960.238693	130.405057
961.530151	130.402363
962.821608	130.399352
964.113065	130.397297
965.404523	130.395451
966.695980	130.393195
967.987437	130.391734
969.278894	130.392597
970.570352	130.393739
971.861809	130.392284
973.153266	130.391751
974.444724	130.396068
975.736181	130.400306
977.027638	130.398800
978.319095	130.395374
979.610553	130.394370
980.902010	130.394949
982.193467	130.394467
983.484925	130.393166
984.776382	130.393427
986.067839	130.395701
987.359296	130.399715
988.650754	130.402889
989.942211	130.402933
991.233668	130.402585
992.525126	130.404844
993.816583	130.408008
995.108040	130.408331
996.399497	130.404745
997.690955	130.399179
998.982412	130.394154
1000.273869	130.392092
1001.565327	130.391745
1002.856784	130.390193
1004.148241	130.388441
1005.439698	130.388135
1006.731156	130.388860
1008.022613	130.389119
1009.314070	130.389167
1010.605528	130.391206
1011.896985	130.395683
1013.188442	130.402207
1014.479899	130.408186
1015.771357	130.410192
1017.062814	130.409672
1018.354271	130.409142
1019.645729	130.408402
1020.937186	130.405520
1022.228643	130.400913
1023.520101	130.398158
1024.811558	130.397486
1026.103015	130.397476
1027.394472	130.397555
1028.685930	130.398048
1029.977387	130.399140
1031.268844	130.400869
1032.560302	130.401995
1033.851759	130.400307
1035.143216	130.396631
1036.434673	130.396606
1037.726131	130.399080
1039.017588	130.398954
1040.309045	130.396380
1041.600503	130.397204
1042.891960	130.400418
1044.183417	130.402289
1045.474874	130.401118
1046.766332	130.397101
1048.057789	130.391455
1049.349246	130.387363
1050.640704	130.386797
1051.932161	130.390714
1053.223618	130.397978
1054.515075	130.404496
1055.806533	130.407866
1057.097990	130.406700
1058.389447	130.402405
1059.680905	130.399459
1060.972362	130.399927
1062.263819	130.399400
1063.555276	130.397406
1064.846734	130.397418
1066.138191	130.399975
1067.429648	130.400480
1068.721106	130.398374
1070.012563	130.395675
1071.304020	130.393907
1072.595477	130.393900
1073.886935	130.395379
1075.178392	130.394894
1076.469849	130.392909
1077.761307	130.394171
1079.052764	130.399777
1080.344221	130.402914
1081.635678	130.402220
1082.927136	130.400711
1084.218593	130.400202
1085.510050	130.400503
1086.801508	130.400986
1088.092965	130.400060
1089.384422	130.397892
1090.675879	130.396884
1091.967337	130.397769
1093.258794	130.396792
1094.550251	130.393905
1095.841709	130.392615
1097.133166	130.394305
1098.424623	130.396212
1099.716080	130.395872
1101.007538	130.394382
1102.298995	130.393480
1103.590452	130.394348
1104.881910	130.397304
1106.173367	130.400081
1107.464824	130.401794
1108.756281	130.403378
1110.047739	130.405347
1111.339196	130.407122
1112.630653	130.408052
1113.922111	130.407922
1115.213568	130.407184
1116.505025	130.407093
1117.796482	130.408305
1119.087940	130.408890
1120.379397	130.408032
1121.670854	130.406902
1122.962312	130.406185
1124.253769	130.404965
1125.545226	130.402298
1126.836683	130.398922
1128.128141	130.396039
1129.419598	130.394345
1130.711055	130.394378
1132.002513	130.396190
1133.293970	130.399331
1134.585427	130.402877
1135.876884	130.405982
1137.168342	130.408172
1138.459799	130.409132
1139.751256	130.409311
1141.042714	130.409122
1142.334171	130.408011
1143.625628	130.405500
1144.917085	130.402377
1146.208543	130.399888
1147.500000	130.399281
